,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
223,03N,small_airport,Utirik Airport,4.0,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N,"11.222, 169.852005"
10375,ADC,small_airport,Andakombe Airport,3600.0,OC,PG,PG-EHG,Andekombe,AYAN,ADC,ADK,"-7.13722222222, 145.744722222"
10405,AEK,small_airport,Aseki Airport,4106.0,OC,PG,PG-MPL,Aseki,AYAX,AEK,ASE,"-7.35080485552, 146.19386673"
10465,AIE,small_airport,Aiome Airport,350.0,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO,"-5.145699978, 144.7307003"
10466,AIH,small_airport,Aiambak Airport,90.0,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB,"-7.342777777779999, 141.2675"
10681,AMU,small_airport,Amanab Airport,1307.0,OC,PG,PG-SAN,Amanab,AYAM,AMU,ANA,"-3.586, 141.214333333"
10750,APR,small_airport,April River Airport,220.0,OC,PG,PG-ESW,April River,AYPE,APR,APR,"-4.67666666667, 142.540138889"
11100,AR-0346,small_airport,Sunchales Aeroclub Airport,311.0,SA,AR,AR-S,Sunchales,SAFS,NCJ,SCA,"-30.9575, -61.5283"
11216,AR-0462,small_airport,Termal Airport,308.0,SA,AR,AR-H,Presidencia Roque Sáenz Peña,SARS,PRQ,PSP,"-26.753611, -60.492222"
11502,ATN,small_airport,Namatanai Airport,150.0,OC,PG,PG-NIK,Namatanai,AYNX,ATN,NTI,"-3.6695, 152.438"
11503,ATP,small_airport,Aitape Airport,10.0,OC,PG,PG-SAN,Aitape,AYAI,ATP,APE,"-3.1436111111100002, 142.346805556"
11633,AU-OKB,small_airport,Orchid Beach Airport,71.0,OC,AU,AU-QLD,Orchid Beach,YORC,OKB,YORC,"-24.959400177002, 153.31500244141"
11641,AUI,small_airport,Aua Island Airport,4.0,OC,PG,PG-MRL,Aua Island,AYND,AUI,AUA,"-1.46055555556, 143.064722222"
11642,AUJ,small_airport,Ambunti Airport,50.0,OC,PG,PG-ESW,Ambunti,AYAT,AUJ,AMI,"-4.21566666667, 142.823166667"
11645,AUV,small_airport,Aumo Airport,450.0,OC,PG,PG-WBK,Aumo,AYUM,AUV,AUMO,"-5.731111111110001, 148.445277778"
11653,AYBR,small_airport,Biaru Airport,4900.0,OC,PG,PG-MPL,Biaru,AYBR,BRP,BRU,"-7.6693, 146.7594"
11661,AYDK,small_airport,Munduku Airport,100.0,OC,PG,PG-ESW,Munduku,AYDK,MDM,MUN,"-4.6204, 143.4516"
11662,AYDL,small_airport,Kondobol Airport,132.0,OC,PG,PG-WPD,Kondobol,AYDL,KPF,KDB,"-8.5336, 142.5049"
11663,AYDN,small_airport,Dinangat Airport,5309.0,OC,PG,PG-MPL,Dinangat,AYDN,DNU,DIN,"-6.1546, 146.6772"
11664,AYDO,small_airport,Doini Airport,31.0,OC,PG,PG-MBA,Castori Islets,AYDO,DOI,DOI,"-10.7009, 150.7218"
11671,AYEB,small_airport,Embessa Airport,131.0,OC,PG,PG-NPP,Embessa,AYEB,EMS,EMB,"-9.447, 148.7628"
11672,AYED,small_airport,Edwaki Airport,190.0,OC,PG,PG-SAN,Yellow River Mission,AYED,XYR,EWK,"-3.883986, 141.792234"
11676,AYEL,small_airport,Eliptamin Airport,4825.0,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,ELP,"-5.0412, 141.6779"
11678,AYEN,small_airport,Engati Airstrip,3715.0,OC,PG,PG-MPL,Engati,AYEN,EGA,EGT,"-6.9179, 146.1053"
11679,AYEO,small_airport,Emo River Airstrip,2240.0,OC,PG,PG-NPP,Emo Mission,AYEO,EMO,EMO,"-9.1234, 148.0415"
11680,AYER,small_airport,Erume Airport,6690.0,OC,PG,PG-CPM,Erume,AYER,ERU,EME,"-8.2538, 146.9747"
11684,AYFE,small_airport,Feramin Airport,4655.0,OC,PG,PG-SAN,Feramin,AYFE,FRQ,FMN,"-5.208, 141.6988"
11687,AYFR,small_airport,Frieda River Airport,217.0,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,FRR,"-4.610468, 141.960138"
11689,AYFU,small_airport,Fuma Airport,466.0,OC,PG,PG-WPD,Fuma,AYFU,FUM,FUMA,"-6.3933, 142.4408"
11694,AYGF,small_airport,Guari Airport,6450.0,OC,PG,PG-CPM,Guari,AYGF,GUG,GAI,"-8.1286, 146.8722"
11695,AYGG,small_airport,Garasa Airport,2539.0,OC,PG,PG-MPL,Au,AYGG,GRL,GSA,"-7.980713, 147.213461"
11700,AYGP,small_airport,Gusap Airport,1504.0,OC,PG,PG-GPK,Gusap,AYGP,GAP,GSP,"-6.053196, 145.959047"
11703,AYGS,small_airport,Gasuke Airport,157.0,OC,PG,PG-WPD,Gasuke,AYGS,GBC,GSK,"-6.1028, 141.7393"
11707,AYHB,small_airport,Habi Airport,993.0,OC,PG,PG-WPD,Habi,AYHB,HBD,HABI,"-6.32, 142.4893"
11708,AYHE,small_airport,Heiweni Airport,3480.0,OC,PG,PG-MPL,Heiweni,AYHE,HNI,HWI,"-7.4223, 146.4276"
11709,AYHH,small_airport,Honinabi Airport,452.0,OC,PG,PG-WPD,Honinabi,AYHH,HNN,HBI,"-16.2457, 142.1771"
11714,AYHO,small_airport,Haivaro Airport,180.0,OC,PG,PG-GPK,Haivaro,AYHO,HIT,HWO,"-6.9406, 143.059"
11721,AYII,small_airport,Imane Airport,3860.0,OC,PG,PG-MPL,Imane,AYII,IMN,IMN,"-6.7524, 146.1072"
