Número de Ticket,Status,Destino,Humedad,Temperatura,Temperatura Minima,Temperatura Máxima,Presión Atmosférica
0,Petición completada,Monterrey,50,297.39,296.48,298.15,50
1,Petición completada,Toluca,62,287.15,287.15,287.15,62
2,Petición completada,Monterrey,50,297.39,296.48,298.15,50
3,Petición completada,Monterrey,50,297.39,296.48,298.15,50
4,Petición completada,Monterrey,50,297.39,296.48,298.15,50
5,Petición completada,257.785-100.107,36,300.63,300.63,300.63,36
6,Petición completada,Monterrey,50,297.39,296.48,298.15,50
7,Petición completada,Monterrey,50,297.39,296.48,298.15,50
8,Petición completada,Monterrey,50,297.39,296.48,298.15,50
9,Petición completada,Mexico,74,302.15,302.15,302.15,74
10,Petición completada,Monterrey,50,297.39,296.48,298.15,50
11,Petición completada,Monterrey,50,297.39,296.48,298.15,50
12,Petición completada,Monterrey,50,297.39,296.48,298.15,50
13,Petición completada,Monterrey,50,297.39,296.48,298.15,50
14,Petición completada,Monterrey,50,297.39,296.48,298.15,50
15,Petición completada,Mexico,74,302.15,302.15,302.15,74
16,Petición completada,Monterrey,50,297.39,296.48,298.15,50
17,Petición completada,Monterrey,50,297.39,296.48,298.15,50
18,Petición completada,Monterrey,50,297.39,296.48,298.15,50
19,Petición completada,Monterrey,50,297.39,296.48,298.15,50
20,Petición completada,Mexico,74,302.15,302.15,302.15,74
21,Petición completada,Mexico,74,302.15,302.15,302.15,74
22,Petición completada,Monterrey,50,297.39,296.48,298.15,50
23,Petición completada,Monterrey,50,297.39,296.48,298.15,50
24,Petición completada,Mexico,74,302.15,302.15,302.15,74
25,Petición completada,Mexico,74,302.15,302.15,302.15,74
26,Petición completada,Mexico,74,302.15,302.15,302.15,74
27,Petición completada,Mexico,74,302.15,302.15,302.15,74
28,Petición completada,Mexico,74,302.15,302.15,302.15,74
29,Petición completada,Mexico,74,302.15,302.15,302.15,74
30,Petición completada,Monterrey,50,297.39,296.48,298.15,50
31,Petición completada,Monterrey,50,297.39,296.48,298.15,50
32,Petición completada,Mexico,74,302.15,302.15,302.15,74
33,Petición completada,Mexico,74,302.15,302.15,302.15,74
34,Petición completada,Mexico,74,302.15,302.15,302.15,74
35,Petición completada,Mexico,74,302.15,302.15,302.15,74
36,Petición completada,Mexico,74,302.15,302.15,302.15,74
37,Petición completada,Mexico,74,302.15,302.15,302.15,74
38,Petición completada,Mexico,74,302.15,302.15,302.15,74
39,Petición completada,Mexico,74,302.15,302.15,302.15,74
40,Petición completada,Mexico,74,302.15,302.15,302.15,74
41,Petición completada,Monterrey,50,297.39,296.48,298.15,50
42,Petición completada,Monterrey,50,297.39,296.48,298.15,50
43,Petición completada,Monterrey,50,297.39,296.48,298.15,50
44,Petición completada,Mexico,74,302.15,302.15,302.15,74
45,Petición completada,Mexico,74,302.15,302.15,302.15,74
46,Petición completada,Mexico,74,302.15,302.15,302.15,74
47,Petición completada,Mexico,74,302.15,302.15,302.15,74
48,Petición completada,Mexico,74,302.15,302.15,302.15,74
49,Petición completada,Monterrey,50,297.39,296.48,298.15,50
50,Petición completada,Monterrey,50,297.39,296.48,298.15,50
51,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
52,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
53,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
54,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
55,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
56,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
57,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
58,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
59,Petición completada,Tamaulipas,37,299.16,299.16,299.16,37
