Número de Ticket,Status,Destino,Humedad,Temperatura,Temperatura Minima,Temperatura Máxima,Presión Atmosférica
0,Petición completada,canada,70,290.72,289.26,293.71,70
1,Petición no completada,ny,undefined,undefined,undefined,undefined,undefined
2,Petición completada,ciudad sandino,88,299.15,299.15,299.15,88
3,Petición completada,jinxiu,77,290.05,290.05,290.05,77
4,Petición completada,ash shuhada,87,292.71,292.71,292.71,87
5,Petición completada,zhongzhai,85,284.42,284.42,284.42,85
6,Petición completada,foundiougne,75,301.42,301.42,301.42,75
7,Petición completada,sekongkang bawah,62,302.15,302.15,302.15,62
8,Petición completada,nangalisan,75,297.98,297.98,297.98,75
9,Petición completada,nankou,59,295.89,295.89,295.89,59
10,Petición no completada,maiami,undefined,undefined,undefined,undefined,undefined
11,Petición completada,san rafael del sur,88,299.15,299.15,299.15,88
12,Petición completada,vicente guerrero,65,285.43,285.43,285.43,65
13,Petición completada,chemerivtsi,93,287.59,287.59,287.59,93
14,Petición completada,ordynskoye,95,271.5,271.5,271.5,95
15,Petición completada,yashalta,76,282.79,282.79,282.79,76
16,Petición completada,polevskoy,85,265.15,265.15,265.15,85
17,Petición completada,krasnogorskiy,94,272.09,272.09,272.09,94
18,Petición completada,ifo,94,298.15,298.15,298.15,94
19,Petición completada,amiens,100,285.51,284.82,286.48,100
20,Petición completada,tororo,81,291.01,291.01,291.01,81
21,Petición completada,cabinda,81,297.47,297.47,297.47,81
22,Petición completada,kilifi,90,296.94,296.94,296.94,90
23,Petición completada,banyo,91,290.69,290.69,290.69,91
24,Petición completada,kotlovka,50,286.22,285.15,287.04,50
25,Petición completada,kopstal,93,282.67,282.04,283.71,93
26,Petición completada,putukrejo,63,300,300,300,63
27,Petición completada,xitieshan,49,278.89,278.89,278.89,49
28,Petición completada,dagupan,77,301.38,301.38,301.38,77
29,Petición completada,las flores,88,292.62,291.48,294.26,88
30,Petición completada,hobaramachi,95,287.34,287.04,287.59,95
31,Petición completada,chayek,63,278.58,278.58,278.58,63
32,Petición completada,inabaan sur,68,302.28,302.28,302.28,68
33,Petición completada,eskilstuna,87,284.68,284.26,285.15,87
34,Petición completada,vailoatai,83,301.15,301.15,301.15,83
35,Petición completada,cungking,66,300.79,300.79,300.79,66
36,Petición completada,montlucon,88,285.37,285.37,285.37,88
37,Petición completada,ali al gharbi,21,294.97,294.97,294.97,21
38,Petición completada,kelburn,46,285.52,285.15,285.93,46
39,Petición completada,miami,74,301.56,300.93,302.15,74
40,Petición completada,yanagawa,56,294.95,294.15,296.48,56
41,Petición completada,san pedro,79,301.8,301.48,302.15,79
42,Petición completada,vyshhorod,100,288.7,288.15,289.26,100
43,Petición completada,sydney,45,300.42,299.82,302.15,45
44,Petición completada,mukhen,49,284.47,284.47,284.47,49
45,Petición completada,jiexiu,49,287.14,287.14,287.14,49
46,Petición completada,shimorskoye,63,281.68,281.68,281.68,63
47,Petición completada,shorapani,48,290.15,290.15,290.15,48
48,Petición completada,paratinga,30,299.45,299.45,299.45,30
49,Petición completada,faisalabad,22,297.39,297.39,297.39,22
50,Petición completada,chum phae,94,295.02,295.02,295.02,94
51,Petición completada,macayug,69,302.84,302.84,302.84,69
52,Petición no completada,portez,undefined,undefined,undefined,undefined,undefined
53,Petición completada,changning,66,284.97,284.97,284.97,66
54,Petición completada,kalipucang,75,299.83,299.83,299.83,75
55,Petición completada,habil al jabr,54,299.51,299.51,299.51,54
56,Petición completada,montpellier,76,285.15,285.15,285.15,76
57,Petición completada,la soledad,75,305.15,305.15,305.15,75
58,Petición no completada,onueke,undefined,undefined,undefined,undefined,undefined
59,Petición completada,wulin,50,285.47,285.47,285.47,50
60,Petición completada,pehcevo,88,288.15,288.15,288.15,88
61,Petición completada,sosnovyy bor,87,285.78,285.37,286.15,87
62,Petición completada,fengjia,62,294.06,294.06,294.06,62
63,Petición completada,barisal,81,301.24,301.24,301.24,81
64,Petición completada,algoz,72,292.15,292.15,292.15,72
65,Petición completada,heshan,75,292.48,292.48,292.48,75
66,Petición completada,pas pul,76,276,276,276,76
67,Petición completada,dafeng,65,292.8,292.8,292.8,65
68,Petición completada,rada,32,288.22,288.22,288.22,32
69,Petición completada,osorno,76,283.15,283.15,283.15,76
70,Petición completada,dawang,76,287.5,287.15,287.59,76
71,Petición completada,bokat,76,301.01,301.01,301.01,76
72,Petición completada,qarawul,36,285.38,285.38,285.38,36
73,Petición completada,farshut,23,298.34,298.15,299.15,23
74,Petición completada,latowicz,100,284.37,281.15,285.93,100
75,Petición no completada,kbenhavn,undefined,undefined,undefined,undefined,undefined
76,Petición completada,montes claros,31,301.07,301.07,301.07,31
77,Petición completada,shiguai,50,285.64,285.64,285.64,50
78,Petición completada,kabakovo,92,272.15,272.15,272.15,92
79,Petición completada,bandaran,54,303.66,303.66,303.66,54
80,Petición completada,mengxi,83,288.16,288.16,288.16,83
81,Petición completada,chitcani,93,292.15,292.15,292.15,93
82,Petición completada,pakembangan,59,301.35,301.35,301.35,59
83,Petición completada,las lajas,58,280.36,280.36,280.36,58
84,Petición completada,zomba,91,287.81,287.81,287.81,91
85,Petición completada,itsandra,78,298.07,298.07,298.07,78
86,Petición completada,pasirangin tiga,67,299.95,299.95,299.95,67
87,Petición completada,nema,86,279.33,279.33,279.33,86
88,Petición completada,xudat,72,285.54,285.54,285.54,72
89,Petición completada,kelishad va sudarjan,42,282.15,282.15,282.15,42
90,Petición completada,huayan,84,289.96,289.96,289.96,84
91,Petición completada,west end,77,301.13,301.13,301.13,77
92,Petición completada,wincrange,61,282.06,281.48,282.59,61
